experiment_id,timestamp,scenario,label,order_request_rate,order_error_rate_5xx,order_error_rate_4xx,order_p99_latency_s,order_p95_latency_s,order_p50_latency_s,order_jvm_heap_mb,order_active_threads,order_service_up,payment_request_rate,payment_error_rate_5xx,payment_error_rate_4xx,payment_p99_latency_s,payment_p95_latency_s,payment_p50_latency_s,payment_jvm_heap_mb,payment_active_threads,payment_service_up,inventory_request_rate,inventory_error_rate_5xx,inventory_error_rate_4xx,inventory_p99_latency_s,inventory_p95_latency_s,inventory_p50_latency_s,inventory_jvm_heap_mb,inventory_active_threads,inventory_service_up,shipping_request_rate,shipping_error_rate_5xx,shipping_error_rate_4xx,shipping_p99_latency_s,shipping_p95_latency_s,shipping_p50_latency_s,shipping_jvm_heap_mb,shipping_active_threads,shipping_service_up,delivery_request_rate,delivery_error_rate_5xx,delivery_error_rate_4xx,delivery_p99_latency_s,delivery_p95_latency_s,delivery_p50_latency_s,delivery_jvm_heap_mb,delivery_active_threads,delivery_service_up,notification_request_rate,notification_error_rate_5xx,notification_error_rate_4xx,notification_p99_latency_s,notification_p95_latency_s,notification_p50_latency_s,notification_jvm_heap_mb,notification_active_threads,notification_service_up,run,fault_type,fault_service,fault_delay_ms,order_error_ratio,order_latency_spike,payment_error_ratio,payment_latency_spike,inventory_error_ratio,inventory_latency_spike,shipping_error_ratio,shipping_latency_spike,delivery_error_ratio,delivery_latency_spike,notification_error_ratio,notification_latency_spike,system_mean_error_rate,system_max_error_rate,system_max_p99_latency,system_mean_p99_latency,num_services_down,max_zscore,anomaly,anomaly_cols,z_order_request_rate,z_order_error_rate_5xx,z_order_error_rate_4xx,z_order_p99_latency_s,z_order_p95_latency_s,z_order_p50_latency_s,z_order_jvm_heap_mb,z_order_active_threads,z_order_service_up,z_payment_request_rate,z_payment_error_rate_5xx,z_payment_error_rate_4xx,z_payment_p99_latency_s,z_payment_p95_latency_s,z_payment_p50_latency_s,z_payment_jvm_heap_mb,z_payment_active_threads,z_payment_service_up,z_inventory_request_rate,z_inventory_error_rate_5xx,z_inventory_error_rate_4xx,z_inventory_p99_latency_s,z_inventory_p95_latency_s,z_inventory_p50_latency_s,z_inventory_jvm_heap_mb,z_inventory_active_threads,z_inventory_service_up,z_shipping_request_rate,z_shipping_error_rate_5xx,z_shipping_error_rate_4xx,z_shipping_p99_latency_s,z_shipping_p95_latency_s,z_shipping_p50_latency_s,z_shipping_jvm_heap_mb,z_shipping_active_threads,z_shipping_service_up,z_delivery_request_rate,z_delivery_error_rate_5xx,z_delivery_error_rate_4xx,z_delivery_p99_latency_s,z_delivery_p95_latency_s,z_delivery_p50_latency_s,z_delivery_jvm_heap_mb,z_delivery_active_threads,z_delivery_service_up,z_notification_request_rate,z_notification_error_rate_5xx,z_notification_error_rate_4xx,z_notification_p99_latency_s,z_notification_p95_latency_s,z_notification_p50_latency_s,z_notification_jvm_heap_mb,z_notification_active_threads,z_notification_service_up,z_order_error_ratio,z_order_latency_spike,z_payment_error_ratio,z_payment_latency_spike,z_inventory_error_ratio,z_inventory_latency_spike,z_shipping_error_ratio,z_shipping_latency_spike,z_delivery_error_ratio,z_delivery_latency_spike,z_notification_error_ratio,z_notification_latency_spike,z_system_mean_error_rate,z_system_max_error_rate,z_system_max_p99_latency,z_system_mean_p99_latency,z_num_services_down
dfe27777,2026-09-01T16:00:44.384983,NORMAL,0,0.162643,0.0,,,,,36.0,,1.0,0.159896,0.0,,,,,0.0,,1.0,0.159151,0.0,0.0,,,,2.0,,1.0,0.169274,0.0,,,,,1.0,,1.0,0.164892,0.0,,,,,1.0,,1.0,0.140121,0.0,,,,,2.0,,1.0,1,NONE,none,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,1.7863851067445438,0,,-0.9171584496918048,0.0,,,,,1.7863851067445438,,0.44721359549995787,-1.258625468857426,0.0,,,,,-0.8979417416059471,,0.44721359549995787,-1.2108499073336154,0.0,0.0,,,,-0.4158988470605481,,0.44721359549995787,-0.296577152583602,0.0,,,,,-0.6455103574433433,,0.44721359549995787,-0.08304466263464687,0.0,,,,,0.7302967433402214,,0.44721359549995787,-0.7928578530752268,0.0,,,,,0.08032193289024986,,0.44721359549995787,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,-0.4472135954999579
06b700fb,2026-09-01T16:01:59.722098,NORMAL,0,0.140447,0.0,,,,,2.0,,1.0,0.214703,0.0,,,,,6.999992,,1.0,0.204893,0.0,0.0,,,,5.0,,1.0,0.174705,0.0,,,,,0.0,,1.0,0.14043,0.0,,,,,1.0,,1.0,0.485325,0.0,,,,,1.0,,1.0,2,NONE,none,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,1.2206980709818036,0,,-1.2206980709818036,0.0,,,,,-0.367412539685048,,0.44721359549995787,-0.2480765192069802,0.0,,,,,1.0663045554258568,,0.44721359549995787,-0.5568750942305005,0.0,0.0,,,,1.1437280679241668,,0.44721359549995787,-0.24091718120710778,0.0,,,,,-0.7463713507938656,,0.44721359549995787,-0.2892150983680875,0.0,,,,,0.7302967433402214,,0.44721359549995787,0.5639781508876431,0.0,,,,,-0.32128773156099955,,0.44721359549995787,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,-0.4472135954999579
4f3481e6,2026-09-01T16:02:44.036843,NORMAL,0,0.283389,0.0,,,,,0.0,,0.0,0.204269,0.0,,,,,0.0,,0.0,0.233246,0.0,0.0,,,,0.0,,0.0,0.065125,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,3,NONE,none,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,6,1.788854381999832,0,,0.7340938080249985,0.0,,,,,-0.4941065188867887,,-1.788854381999832,-0.4404619396943769,0.0,,,,,-0.8979417416059471,,-1.788854381999832,-0.1515113612080568,0.0,0.0,,,,-1.4556501237170247,,-1.788854381999832,-1.3639552337639573,0.0,,,,,-0.7463713507938656,,-1.788854381999832,-1.47278611831932,0.0,,,,,-1.0954451150103321,,-1.788854381999832,-1.3436081853752038,0.0,,,,,-0.7228973960122489,,-1.788854381999832,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,1.7888543819998317
0c19ad82,2026-09-01T16:04:35.926644,NORMAL,0,0.261375,0.0,,,,,1.0,,1.0,0.261233,0.0,,,,,2.0,,1.0,0.281328,0.0,0.0,,,,3.999992,,1.0,0.261233,0.0,,,,,15.0,,1.0,0.267791,0.0,,,,,0.0,,1.0,0.522445,0.0,,,,,6.0,,1.0,4,NONE,none,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,1.6867605906952474,0,,0.43304311316655447,0.0,,,,,-0.4307595292859184,,0.44721359549995787,0.6098584640476266,0.0,,,,,-0.33672787249529557,,0.44721359549995787,0.535918505514517,0.0,0.0,,,,0.623848270590822,,0.44721359549995787,0.6458708878897993,0.0,,,,,0.7665435494639701,,0.44721359549995787,0.7842078787166447,0.0,,,,,-1.0954451150103321,,0.44721359549995787,0.7098795670563485,0.0,,,,,1.6867605906952474,,0.44721359549995787,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,-0.4472135954999579
62637d8e,2026-09-01T16:05:23.716628,NORMAL,0,0.300692,0.0,,,,,0.0,,1.0,0.300686,0.0,,,,,7.0,,1.0,0.340599,0.0,0.0,,,,2.999992,,1.0,0.320725,0.0,,,,,21.0,,1.0,0.300613,0.0,,,,,1.0,,1.0,0.561302,0.0,,,,,0.0,,1.0,5,NONE,none,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0,1.3833178572576565,0,,0.970719599482056,0.0,,,,,-0.4941065188867887,,0.44721359549995787,1.337305463711156,0.0,,,,,1.0663068002813334,,0.44721359549995787,1.3833178572576565,0.0,0.0,,,,0.1039726322625837,,0.44721359549995787,1.2555786796648685,0.0,,,,,1.3717095095671044,,0.44721359549995787,1.0608380006054106,0.0,,,,,0.7302967433402214,,0.44721359549995787,0.8626083205064392,0.0,,,,,-0.7228973960122489,,0.44721359549995787,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,-0.4472135954999579
8bab5fd2,2026-09-01T16:06:03.086821,PAYMENT_DOWN,1,0.340538,0.0,,,,,4.999992,,1.0,0.293781,0.11324,,,,,10.999992,,1.0,0.321079,0.0,0.0,,,,3.0,,1.0,0.302383,0.0,,,,,2.0,,1.0,0.302395,0.0,,,,,1.0,,1.0,0.423344,0.0,,,,,0.0,,1.0,1,DOWN,payment-service,0,0.0,,0.3854571929925447,,0.0,,0.0,,0.0,,0.0,,0.0188733333333333,0.11324,,,0,385457192.9925447,1,payment_error_rate_5xx|payment_error_ratio|system_mean_error_rate|system_max_error_rate,1.5156303829530093,0.0,,,,,-0.17737207765835378,,0.44721359549995787,1.2099888709887607,113239999.99999999,,,,,2.18873229364716,,0.44721359549995787,1.10423980313294,0.0,0.0,,,,0.10397679126769022,,0.44721359549995787,1.0675994502434623,0.0,,,,,-0.5446493640928208,,0.44721359549995787,1.0758570389700983,0.0,,,,,0.7302967433402214,,0.44721359549995787,0.3203597329040084,0.0,,,,,-0.7228973960122489,,0.44721359549995787,0.0,,385457192.9925447,,0.0,,0.0,,0.0,,0.0,,18873333.3333333,113239999.99999999,,,-0.4472135954999579
fa5c1cd0,2026-09-01T16:06:45.985144,PAYMENT_DOWN,1,0.363534,0.0,,,,,5.0,,1.0,0.323134,0.121175,,,,,3.0,,1.0,0.323147,0.0,0.0,,,,2.0,,1.0,0.302932,0.0,,,,,6.0,,1.0,0.323141,0.0,,,,,5.0,,1.0,0.424122,0.0,,,,,2.0,,1.0,2,DOWN,payment-service,0,0.0,,0.3749992251666515,,0.0,,0.0,,0.0,,0.0,,0.0201958333333333,0.121175,,,0,374999225.1666515,1,payment_error_rate_5xx|delivery_jvm_heap_mb|payment_error_ratio|system_mean_error_rate|system_max_error_rate,1.8301103402058843,0.0,,,,,-0.17737157088243696,,0.44721359549995787,1.7512088487122175,121175000.0,,,,,-0.05612093793996978,,0.44721359549995787,1.1338060641949235,0.0,0.0,,,,-0.4158988470605481,,0.44721359549995787,1.0732259139307563,0.0,,,,,-0.14120539069073137,,0.44721359549995787,1.250708312771339,0.0,,,,,8.033264176742437,,0.44721359549995787,0.3234176882321132,0.0,,,,,0.08032193289024986,,0.44721359549995787,0.0,,374999225.1666515,,0.0,,0.0,,0.0,,0.0,,20195833.3333333,121175000.0,,,-0.4472135954999579
326dc56c,2026-09-01T16:07:22.240808,PAYMENT_DOWN,1,0.382125,0.0,,,,,3.0,,1.0,0.340736,0.140303,,,,,5.0,,1.0,0.320596,0.0,0.0,,,,0.0,,1.0,0.300619,0.0,,,,,11.0,,1.0,0.360794,0.0,,,,,9.0,,1.0,0.420909,0.0,,,,,2.999992,,1.0,3,DOWN,payment-service,0,0.0,,0.4117645320372237,,0.0,,0.0,,0.0,,0.0,,0.0233838333333333,0.140303,,,0,411764532.03722364,1,payment_error_rate_5xx|delivery_jvm_heap_mb|payment_error_ratio|system_mean_error_rate|system_max_error_rate,2.0843500725631716,0.0,,,,,-0.3040655500841777,,0.44721359549995787,2.075760139820053,140303000.0,,,,,0.5050929311706818,,0.44721359549995787,1.0973343369371285,0.0,0.0,,,,-1.4556501237170247,,0.44721359549995787,1.0495209767564184,0.0,,,,,0.36309957606188054,,0.44721359549995787,1.5680550308103889,0.0,,,,,15.33623161014465,,0.44721359549995787,0.31078888300177776,0.0,,,,,0.48192838446418373,,0.44721359549995787,0.0,,411764532.03722364,,0.0,,0.0,,0.0,,0.0,,23383833.3333333,140303000.0,,,-0.4472135954999579
d29c17fc,2026-09-01T16:08:00.165828,PAYMENT_DOWN,1,0.34062,0.0,,,,,1.0,,1.0,0.380693,0.180328,,,,,8.0,,1.0,0.360642,0.0,0.0,,,,4.0,,1.0,0.340668,0.0,,,,,14.0,,1.0,0.321117,0.0,,,,,12.0,,1.0,0.501022,0.0,,,,,2.0,,1.0,4,DOWN,payment-service,0,0.0,,0.4736835180219139,,0.0,,0.0,,0.0,,0.0,,0.0300546666666666,0.180328,,,0,473683518.0219138,1,payment_error_rate_5xx|delivery_jvm_heap_mb|payment_error_ratio|system_mean_error_rate|system_max_error_rate,1.5167517673892037,0.0,,,,,-0.4307595292859184,,0.44721359549995787,2.8125000522615826,180327999.99999997,,,,,1.3469137348366589,,0.44721359549995787,1.6698732588366376,0.0,0.0,,,,0.6238524295959286,,0.44721359549995787,1.4599658660322832,0.0,,,,,0.6656825561134476,,0.44721359549995787,1.2336496519126812,0.0,,,,,20.81345718519631,,0.44721359549995787,0.6256757405859232,0.0,,,,,0.08032193289024986,,0.44721359549995787,0.0,,473683518.0219138,,0.0,,0.0,,0.0,,0.0,,30054666.6666666,180327999.99999997,,,-0.4472135954999579
e5d92d8f,2026-09-01T16:08:43.387549,PAYMENT_DOWN,1,0.321098,0.0,,,,,6.0,,1.0,0.321085,0.120407,,,,,1.0,,1.0,0.320969,0.0,0.0,,,,3.999985,,1.0,0.321092,0.0,,,,,19.0,,1.0,0.30103,0.0,,,,,15.0,,1.0,0.441395,0.0,,,,,1.0,,1.0,5,DOWN,payment-service,0,0.0,,0.3750003881370964,,0.0,,0.0,,0.0,,0.0,,0.0200678333333333,0.120407,,,0,375000388.1370964,1,payment_error_rate_5xx|delivery_jvm_heap_mb|payment_error_ratio|system_mean_error_rate|system_max_error_rate,1.2497802190551188,0.0,,,,,-0.11402458128156662,,0.44721359549995787,1.7134287330730888,120407000.0,,,,,-0.6173348070506213,,0.44721359549995787,1.1026671296721962,0.0,0.0,,,,0.6238446314613537,,0.44721359549995787,1.2593399040241346,0.0,,,,,1.1699875228660597,,0.44721359549995787,1.0643525567210528,0.0,,,,,26.29068276024797,,0.44721359549995787,0.3913097992634183,0.0,,,,,-0.32128773156099955,,0.44721359549995787,0.0,,375000388.1370964,,0.0,,0.0,,0.0,,0.0,,20067833.3333333,120407000.0,,,-0.4472135954999579
